Banc de test optique V0.2

tension de test théorique : 12V
tension = 0.00 VDC;courant = 0.00 A;

Angle °;cd;X;Y;lux;temperature ambiante °C; temps après allumage en ms;
70.6;25.27;0.0000;0.0000;1.4325;1994.92;401642;
70.8;25.28;0.0000;0.0000;1.4333;1994.87;402058;
71.0;25.32;0.0000;0.0000;1.4356;1994.84;402474;
71.2;25.37;0.0000;0.0000;1.4381;1995.22;402890;
71.4;25.39;0.0000;0.0000;1.4396;1995.25;403306;
71.6;25.43;0.0000;0.0000;1.4416;1995.25;403722;
71.8;25.44;0.0000;0.0000;1.4425;1995.27;404138;
72.0;25.45;0.0000;0.0000;1.4426;1995.18;404554;
72.2;25.46;0.0000;0.0000;1.4433;1995.21;404969;
72.4;25.48;0.0000;0.0000;1.4445;1995.30;405385;
72.6;25.46;0.0000;0.0000;1.4431;1994.89;405801;
72.8;25.42;0.0000;0.0000;1.4411;1994.89;406217;
73.0;25.40;0.0000;0.0000;1.4397;1994.89;406633;
73.2;25.35;0.0000;0.0000;1.4369;1994.86;407049;
73.4;25.34;0.0000;0.0000;1.4363;1994.80;407465;
73.6;25.31;0.0000;0.0000;1.4350;1994.80;407881;
73.8;25.32;0.0000;0.0000;1.4354;1994.79;408297;
74.0;25.35;0.0000;0.0000;1.4370;1994.79;408713;
74.2;25.39;0.0000;0.0000;1.4392;1994.80;409129;
74.4;25.44;0.0000;0.0000;1.4419;1994.83;409545;
74.6;25.47;0.0000;0.0000;1.4441;1994.86;409961;
74.8;25.49;0.0000;0.0000;1.4448;1994.86;410377;
75.0;25.50;0.0000;0.0000;1.4456;1994.84;410793;
75.2;25.54;0.0000;0.0000;1.4476;1994.84;411209;
75.4;25.52;0.0000;0.0000;1.4465;1994.80;411625;
75.6;25.50;0.0000;0.0000;1.4454;1994.82;412041;
75.8;25.47;0.0000;0.0000;1.4438;1994.82;412457;
76.0;25.44;0.0000;0.0000;1.4422;1994.84;412873;
76.2;25.42;0.0000;0.0000;1.4411;1994.84;413289;
76.4;25.38;0.0000;0.0000;1.4385;1994.84;413705;
76.6;25.39;0.0000;0.0000;1.4393;1994.80;414121;
76.8;25.39;0.0000;0.0000;1.4392;1994.76;414537;
77.0;25.40;0.0000;0.0000;1.4401;1994.77;414953;
77.2;25.42;0.0000;0.0000;1.4408;1994.77;415369;
77.4;25.45;0.0000;0.0000;1.4429;1994.74;415785;
77.6;25.44;0.0000;0.0000;1.4419;1994.74;416201;
77.8;25.47;0.0000;0.0000;1.4437;1994.73;416617;
78.0;25.47;0.0000;0.0000;1.4438;1994.65;417033;
78.2;25.46;0.0000;0.0000;1.4431;1994.64;417449;
78.4;25.46;0.0000;0.0000;1.4433;1994.65;417865;
78.6;25.44;0.0000;0.0000;1.4420;1994.65;418281;
78.8;25.42;0.0000;0.0000;1.4408;1994.60;418697;
79.0;25.40;0.0000;0.0000;1.4400;1994.61;419113;
